Rank,Food Name,Serving,iron amount,Percent DV,Source
1,"Spices, thyme, dried",100 grams,123.6mg,(687% DV),Standard Release
2,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,66.4mg,(369% DV),Standard Release
3,"Beef, variety meats and by-products, spleen, raw",100 grams,44.6mg,(248% DV),Standard Release
4,"Lamb, variety meats and by-products, spleen, raw",100 grams,41.9mg,(233% DV),Standard Release
5,"Beef, variety meats and by-products, spleen, cooked, braised",100 grams,39.4mg,(219% DV),Standard Release
6,"Lamb, variety meats and by-products, spleen, cooked, braised",100 grams,38.7mg,(215% DV),Standard Release
7,"Duck, domesticated, liver, raw",100 grams,30.5mg,(170% DV),Standard Release
8,"Goose, liver, raw",100 grams,30.5mg,(170% DV),Standard Release
9,"Pork, fresh, variety meats and by-products, liver, raw",100 grams,23.3mg,(129% DV),Standard Release
10,"Pork, fresh, variety meats and by-products, spleen, raw",100 grams,22.3mg,(124% DV),Standard Release
11,"Pork, fresh, variety meats and by-products, spleen, cooked, braised",100 grams,22.2mg,(124% DV),Standard Release
12,Dried Agar Seaweed,100 grams,21.4mg,(119% DV),Standard Release
13,"Seeds, sesame butter, paste",100 grams,19.2mg,(107% DV),Standard Release
14,"Pork, fresh, variety meats and by-products, lungs, raw",100 grams,18.9mg,(105% DV),Standard Release
15,"Pork, fresh, variety meats and by-products, liver, cooked, braised",100 grams,17.9mg,(100% DV),Standard Release
16,"Peanut butter, chunky, vitamin and mineral fortified",100 grams,17.5mg,(97% DV),Standard Release
17,"Peanut butter, smooth, vitamin and mineral fortified",100 grams,16.6mg,(92% DV),Standard Release
18,"Pork, fresh, variety meats and by-products, lungs, cooked, braised",100 grams,16.4mg,(91% DV),Standard Release
19,"Soybeans, mature seeds, raw",100 grams,15.7mg,(87% DV),Standard Release
20,"Seeds, sesame flour, high-fat",100 grams,15.2mg,(84% DV),Standard Release
21,"Lamb, New Zealand, imported, kidney, cooked, soaked and fried",100 grams,14.7mg,(82% DV),Standard Release
22,"Seeds, sesame meal, partially defatted",100 grams,14.6mg,(81% DV),Standard Release
23,"Seeds, sesame seeds, whole, dried",100 grams,14.6mg,(81% DV),Standard Release
24,"Soy protein isolate, potassium type",100 grams,14.5mg,(81% DV),Standard Release
25,"Seeds, sesame flour, partially defatted",100 grams,14.3mg,(79% DV),Standard Release
26,"Seeds, sesame flour, low-fat",100 grams,14.2mg,(79% DV),Standard Release
27,"Mollusks, clam, mixed species, cooked, breaded and fried",100 grams,13.9mg,(77% DV),Standard Release
28,"Soy meal, defatted, raw",100 grams,13.7mg,(76% DV),Standard Release
29,"Winged beans, mature seeds, raw",100 grams,13.4mg,(75% DV),Standard Release
30,"Seeds, cottonseed meal, partially defatted (glandless)",100 grams,13.4mg,(74% DV),Standard Release
31,"Chicken, liver, all classes, cooked, pan-fried",100 grams,12.9mg,(72% DV),Standard Release
32,"Beverage, instant breakfast powder, chocolate, not reconstituted",100 grams,12.8mg,(71% DV),Standard Release
33,"Seeds, cottonseed flour, partially defatted (glandless)",100 grams,12.7mg,(70% DV),Standard Release
34,"Seeds, cottonseed flour, low fat (glandless)",100 grams,12.6mg,(70% DV),Standard Release
35,"Lamb, variety meats and by-products, kidneys, cooked, braised",100 grams,12.4mg,(69% DV),Standard Release
36,"Protein supplement, milk based, Muscle Milk Light, powder",100 grams,12mg,(67% DV),Standard Release
37,Meat extender,100 grams,12mg,(67% DV),Standard Release
38,"Fish, caviar, black and red, granular",100 grams,11.9mg,(66% DV),Standard Release
39,"Chicken, liver, all classes, cooked, simmered",100 grams,11.6mg,(65% DV),Standard Release
40,"Mothbeans, mature seeds, raw",100 grams,10.9mg,(60% DV),Standard Release
41,"Liver cheese, pork",100 grams,10.8mg,(60% DV),Standard Release
42,"Soy protein concentrate, produced by acid wash",100 grams,10.8mg,(60% DV),Standard Release
43,"Soy protein concentrate, produced by alcohol extraction",100 grams,10.8mg,(60% DV),Standard Release
44,"Game meat, bear, cooked, simmered",100 grams,10.7mg,(60% DV),Standard Release
45,"Wheat bran, crude",100 grams,10.6mg,(59% DV),Standard Release
46,"Oscar Mayer, Braunschweiger Liver Sausage (sliced)",100 grams,10.5mg,(58% DV),Standard Release
47,"Beans, white, mature seeds, raw",100 grams,10.4mg,(58% DV),Standard Release
48,"Peppers, sweet, red, freeze-dried",100 grams,10.4mg,(58% DV),Standard Release
49,"Chicken, broilers or fryers, giblets, cooked, fried",100 grams,10.3mg,(57% DV),Standard Release
50,"Game meat, beaver, cooked, roasted",100 grams,10mg,(56% DV),Standard Release
51,"Cowpeas, catjang, mature seeds, raw",100 grams,10mg,(55% DV),Standard Release
52,"Tofu, dried-frozen (koyadofu), prepared with calcium sulfate",100 grams,9.7mg,(54% DV),Standard Release
53,"Tofu, dried-frozen (koyadofu)",100 grams,9.7mg,(54% DV),Standard Release
54,"Sausage, Italian, turkey, smoked",100 grams,9.6mg,(53% DV),Standard Release
55,"Sausage, turkey, hot, smoked",100 grams,9.6mg,(53% DV),Standard Release
56,"Egg, yolk, dried",100 grams,9.6mg,(53% DV),Standard Release
57,"Beans, kidney, california red, mature seeds, raw",100 grams,9.4mg,(52% DV),Standard Release
58,"Veal, variety meats and by-products, spleen, raw",100 grams,9.3mg,(52% DV),Standard Release
59,"Soy flour, defatted",100 grams,9.2mg,(51% DV),Standard Release
60,"Pate, chicken liver, canned",100 grams,9.2mg,(51% DV),Standard Release
61,"Chicken, heart, all classes, cooked, simmered",100 grams,9mg,(50% DV),Standard Release
62,"Chicken, liver, all classes, raw",100 grams,9mg,(50% DV),Standard Release
63,"Turkey, all classes, liver, raw",100 grams,8.9mg,(50% DV),Standard Release
64,Liverwurst spread,100 grams,8.9mg,(49% DV),Standard Release
65,"Beans, black turtle, mature seeds, raw",100 grams,8.7mg,(48% DV),Standard Release
66,"Beans, kidney, royal red, mature seeds, raw",100 grams,8.7mg,(48% DV),Standard Release
67,"Yardlong beans, mature seeds, raw",100 grams,8.6mg,(48% DV),Standard Release
68,Natto,100 grams,8.6mg,(48% DV),Standard Release
69,"Protein supplement, milk based, Muscle Milk, powder",100 grams,8.6mg,(48% DV),Standard Release
70,"Corn flour, yellow, masa, enriched",100 grams,8.5mg,(47% DV),Standard Release
71,"Corn flour, masa, enriched, white",100 grams,8.5mg,(47% DV),Standard Release
72,"Beef, New Zealand, imported, variety meats and by-products, liver, raw",100 grams,8.4mg,(47% DV),Standard Release
73,"Egg, whole, dried, stabilized, glucose reduced",100 grams,8.3mg,(46% DV),Standard Release
74,"Lamb, variety meats and by-products, liver, cooked, braised",100 grams,8.3mg,(46% DV),Standard Release
75,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",100 grams,8.3mg,(46% DV),Standard Release
76,"Beans, kidney, all types, mature seeds, raw",100 grams,8.2mg,(46% DV),Standard Release
77,"Soy flour, low-fat",100 grams,8.2mg,(46% DV),Standard Release
78,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",100 grams,8.1mg,(45% DV),Standard Release
79,"Beef, variety meats and by-products, lungs, raw",100 grams,8mg,(44% DV),Standard Release
80,Papad,100 grams,7.8mg,(43% DV),Standard Release
81,"Seeds, sesame seed kernels, toasted, with salt added (decorticated)",100 grams,7.8mg,(43% DV),Standard Release
82,"Seeds, sesame seed kernels, toasted, without salt added (decorticated)",100 grams,7.8mg,(43% DV),Standard Release
83,"Beans, small white, mature seeds, raw",100 grams,7.7mg,(43% DV),Standard Release
84,"Teff, uncooked",100 grams,7.6mg,(42% DV),Standard Release
85,"Amaranth grain, uncooked",100 grams,7.6mg,(42% DV),Standard Release
86,"Leeks, (bulb and lower-leaf portion), freeze-dried",100 grams,7.6mg,(42% DV),Standard Release
87,"Mungo beans, mature seeds, raw",100 grams,7.6mg,(42% DV),Standard Release
88,"Lima beans, large, mature seeds, raw",100 grams,7.5mg,(42% DV),Standard Release
89,"Lentils, pink or red, raw",100 grams,7.4mg,(41% DV),Standard Release
90,"Lamb, variety meats and by-products, liver, raw",100 grams,7.4mg,(41% DV),Standard Release
91,"Veal, variety meats and by-products, spleen, cooked, braised",100 grams,7.4mg,(41% DV),Standard Release
92,"Wheat flour, white, cake, enriched",100 grams,7.3mg,(41% DV),Standard Release
93,"Seeds, watermelon seed kernels, dried",100 grams,7.3mg,(40% DV),Standard Release
94,"Emu, inside drums, cooked, broiled",100 grams,7.3mg,(40% DV),Standard Release
95,"Seasoning mix, dry, taco, original",100 grams,7.2mg,(40% DV),Standard Release
96,"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",100 grams,7.2mg,(40% DV),Standard Release
97,"Game meat, raccoon, cooked, roasted",100 grams,7.1mg,(39% DV),Standard Release
98,"Game meat, muskrat, cooked, roasted",100 grams,7.1mg,(39% DV),Standard Release
99,"Wheat flour, white, tortilla mix, enriched",100 grams,7.1mg,(39% DV),Standard Release
100,"Chicken, broilers or fryers, giblets, cooked, simmered",100 grams,7mg,(39% DV),Standard Release
101,"Potatoes, baked, skin, without salt",100 grams,7mg,(39% DV),Standard Release
102,"Potatoes, baked, skin only, with salt",100 grams,7mg,(39% DV),Standard Release
103,"Beans, yellow, mature seeds, raw",100 grams,7mg,(39% DV),Standard Release
104,"Turkey, all classes, heart, cooked, simmered",100 grams,7mg,(39% DV),Standard Release
105,"Mollusks, oyster, eastern, cooked, breaded and fried",100 grams,7mg,(39% DV),Standard Release
106,"Game meat, beaver, raw",100 grams,6.9mg,(38% DV),Standard Release
107,"Emu, full rump, cooked, broiled",100 grams,6.9mg,(38% DV),Standard Release
108,"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",100 grams,6.8mg,(38% DV),Standard Release
109,"Seeds, sunflower seed kernels, toasted, with salt added",100 grams,6.8mg,(38% DV),Standard Release
110,"Game meat, squirrel, cooked, roasted",100 grams,6.8mg,(38% DV),Standard Release
111,"Seeds, sunflower seed kernels, toasted, without salt",100 grams,6.8mg,(38% DV),Standard Release
112,"Chicken, capons, giblets, cooked, simmered",100 grams,6.8mg,(38% DV),Standard Release
113,"Beans, pink, mature seeds, raw",100 grams,6.8mg,(38% DV),Standard Release
114,"Mung beans, mature seeds, raw",100 grams,6.7mg,(37% DV),Standard Release
115,"Radishes, oriental, dried",100 grams,6.7mg,(37% DV),Standard Release
116,"Broadbeans (fava beans), mature seeds, raw",100 grams,6.7mg,(37% DV),Standard Release
117,"Beans, kidney, red, mature seeds, raw",100 grams,6.7mg,(37% DV),Standard Release
118,"Game meat, bear, raw",100 grams,6.7mg,(37% DV),Standard Release
119,"Seeds, sunflower seed flour, partially defatted",100 grams,6.6mg,(37% DV),Standard Release
120,"Lamb, New Zealand, imported, kidney, raw",100 grams,6.6mg,(37% DV),Standard Release
121,"Beef, variety meats and by-products, liver, cooked, braised",100 grams,6.5mg,(36% DV),Standard Release
122,"Lentils, raw",100 grams,6.5mg,(36% DV),Standard Release
123,"Chicken, stewing, giblets, cooked, simmered",100 grams,6.4mg,(36% DV),Standard Release
124,"Noodles, chinese, chow mein",100 grams,6.4mg,(36% DV),Standard Release
